"","predictions.test","NO2","BP","SOLR","TMP","WDIR","WSPD","TimeHours","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"254",43.4073966666666,53.5,981,5,2,85,0.7,"14:00",982,20,40.6,71.2,22.5,23.5,18,22,2,119,1.3,983,15,36.3,59.3,25.9,21.9,18,36,2,104,1,984,14,38.3,59.8,25.4,25.2,18,52,1,105,1.2
"262",50.7376733333333,57.9,980,338,3,259,1.1,"14:00",979,23.7,55.5,91.8,8.5,20.1,16,408,2,236,2,979,39.3,51.6,111.9,6,22.4,17,120,1,235,2,980,47.4,58.3,131,4,23,19,97,0,232,2.2
"271",43.30149,46.9,982,28,4,130,1.9,"15:00",982,9.1,45.3,59.3,8,25.3,19,40,3,119,0.9,983,17.5,53.5,80.3,9.5,24.5,21,68,3,91,0.6,983,7.8,37.8,49.7,15.5,21.8,17,62,2,99,0.3
"274",38.3627466666667,32.5,981,63,4,137,1,"10:00",981,7.2,38.3,49.2,7.5,21,18,14,3,135,0.3,981,2.5,34.4,38.3,9.5,21,15,0,3,89,0.6,981,2.8,39.2,43.5,6,17.3,16,-3,3,76,0.4
"275",33.0868966666666,30.1,980,79,5,178,0.6,"11:00",981,6.9,32.5,43,14.5,19.5,17,63,4,137,1,981,7.2,38.3,49.2,7.5,21,18,14,3,135,0.3,981,2.5,34.4,38.3,9.5,21,15,0,3,89,0.6
"277",25.9792933333333,23,979,44,5,124,0.8,"13:00",979,5.3,24.4,32.5,21.5,24.1,21,66,5,161,0.6,980,5.9,30.1,39.2,16.5,23,21,79,5,178,0.6,981,6.9,32.5,43,14.5,19.5,17,63,4,137,1
"279",24.0228633333333,25.8,979,6,5,92,0.6,"15:00",979,2.5,22.5,26.3,25.9,25,23,33,5,96,0.9,979,4.4,23,29.6,23.4,24.9,23,44,5,124,0.8,979,5.3,24.4,32.5,21.5,24.1,21,66,5,161,0.6
"281",21.4928333333333,23.9,1011,250,13,238,1.5,"09:00",1011,4.7,25.3,32.5,55.4,23.1,15,79,12,250,1.4,1010,5.3,31.1,39.2,41.4,21.7,14,81,12,232,1.5,1010,4.4,31.1,37.8,38.9,22,14,46,11,252,0.8
"288",19.6888966666667,21.5,1011,248,17,203,2.9,"16:00",1010,2.2,20.6,23.9,64.9,23.4,17,457,17,215,2.8,1011,0.9,19.6,21,59.9,20.8,17,268,17,224,2,1011,7.8,15.3,27.3,66.9,16,14,496,16,255,2.3
"291",35.9625166666667,22,1016,313,14,246,2,"11:00",1016,23.4,39.2,75.1,38.9,45.6,31,161,12,248,2,1016,48,53.5,127.2,15.5,51.7,34,119,12,239,2.2,1016,21.8,41.6,75.1,32.4,47.9,34,124,12,242,2
"293",18.86285,15.8,1016,639,16,256,1.7,"13:00",1016,4.1,15.8,22,59.9,25,20,388,15,240,2.1,1016,6.9,22,32.5,72.8,30.7,24,313,14,246,2,1016,23.4,39.2,75.1,38.9,45.6,31,161,12,248,2
"298",17.17617,14.3,1019,534,17,149,1.3,"10:00",1019,11.8,18.2,36.3,74.8,30.3,17,358,15,113,1.5,1019,4.1,20.6,26.8,64.4,33.6,22,187,14,113,1.4,1019,7.2,33.9,44.9,46.4,44.8,29,70,12,70,0.9
"302",9.43601333333333,8.6,1017,272,19,124,1.1,"14:00",1018,5,8.6,16.3,102.3,23.3,15,378,19,188,0.9,1018,1.9,9.6,12.4,100.3,30.9,22,516,19,189,1.1,1019,2.8,10,14.3,104.8,30.7,17,632,18,137,1
"304",8.65471333333332,13.9,1016,168,18,199,1.4,"16:00",1017,1.2,6.7,8.6,103.8,28.2,17,164,19,151,1.5,1017,1.6,8.6,11,103.3,23.4,17,272,19,124,1.1,1018,5,8.6,16.3,102.3,23.3,15,378,19,188,0.9
"305",28.5744533333333,43,1012,289,19,190,0.9,"09:00",1013,7.5,40.6,52.1,54.9,54.4,40,202,17,191,0.7,1013,13.4,57.9,78.4,34.4,50.4,39,119,14,144,0.5,1014,6.9,49.2,59.8,36.4,42.8,33,71,13,117,0.3
"306",27.4063066666667,34.9,1012,354,19,194,1,"10:00",1012,3.7,43,48.8,43.9,48.6,32,289,19,190,0.9,1013,7.5,40.6,52.1,54.9,54.4,40,202,17,191,0.7,1013,13.4,57.9,78.4,34.4,50.4,39,119,14,144,0.5
"311",27.4563833333333,43.5,1009,378,20,158,1.2,"15:00",1010,5.3,35.9,44,33.9,23.7,10,498,20,153,1.3,1010,6.7,26.8,37,52.4,27.8,18,566,20,151,1.4,1011,4.4,24.4,31.1,62.4,26.2,16,483,20,172,1.4
"314",13.8892566666667,12,1002,415,17,225,0.9,"10:00",1002,5,13.9,21.5,65.4,14.2,7,105,16,271,0.7,1003,8.7,21.5,34.9,48.9,23.6,16,201,16,253,1.2,1003,7.2,26.8,37.8,36.4,22.5,16,130,14,268,1.3
"315",11.78096,10.5,1001,402,19,238,1,"11:00",1002,3.7,12,17.7,72.8,21.8,16,415,17,225,0.9,1002,5,13.9,21.5,65.4,14.2,7,105,16,271,0.7,1003,8.7,21.5,34.9,48.9,23.6,16,201,16,253,1.2
"316",9.63163999999999,11.5,1001,408,19,245,1.2,"12:00",1001,3.7,10.5,16.3,80.3,23.1,15,402,19,238,1,1002,3.7,12,17.7,72.8,21.8,16,415,17,225,0.9,1002,5,13.9,21.5,65.4,14.2,7,105,16,271,0.7
"317",10.57668,10.5,1001,248,19,283,1.4,"13:00",1001,3.4,11.5,16.7,75.8,13.2,9,408,19,245,1.2,1001,3.7,10.5,16.3,80.3,23.1,15,402,19,238,1,1002,3.7,12,17.7,72.8,21.8,16,415,17,225,0.9
"322",13.8633366666667,13.9,1002,519,20,252,1.7,"10:00",1002,5.9,14.3,23.4,50.9,17.4,15,327,19,232,1.7,1002,7.2,20.6,31.6,40.4,18.2,13,193,18,240,1.1,1003,8.4,26.8,39.7,31.9,20.2,16,146,17,205,0.9
"325",10.4140133333333,12.4,1002,191,20,255,1.3,"13:00",1002,1.9,11,13.9,68.4,15.2,9,224,20,255,1.6,1002,3.1,14.3,19.1,57.9,13.4,10,324,20,240,1.9,1002,2.2,13.9,17.2,56.4,22.2,14,519,20,252,1.7
"327",11.4724333333333,11,1001,134,21,244,1.5,"15:00",1001,1.6,12.9,15.3,72.8,22.8,15,305,21,252,1.3,1002,5.9,12.4,21.5,71.8,17.7,16,191,20,255,1.3,1002,1.9,11,13.9,68.4,15.2,9,224,20,255,1.6
"332",8.97870000000001,9.6,1003,340,18,207,2,"12:00",1003,3.1,10,14.8,51.4,15.3,8,204,17,218,2,1003,2.5,6.7,10.5,50.4,17.3,7,304,18,186,1.8,1003,8.1,11,23.4,43.4,15.9,11,375,17,215,1.9
"333",9.37968333333334,9.1,1002,434,19,215,1.8,"13:00",1003,3.1,9.6,14.3,50.9,15.1,12,340,18,207,2,1003,3.1,10,14.8,51.4,15.3,8,204,17,218,2,1003,2.5,6.7,10.5,50.4,17.3,7,304,18,186,1.8
"338",11.95633,7.2,993,313,16,169,1.3,"10:00",993,4.4,11.5,18.2,57.9,15,12,229,15,169,1,993,7.2,20.1,31.1,46.4,14.3,14,125,14,142,1.4,994,9.4,20.1,34.4,35.4,21.1,15,94,13,126,1
"340",10.5816233333333,24.4,992,270,16,206,1.9,"12:00",993,1.9,12,14.8,52.4,19.4,12,354,17,202,1.7,993,2.2,7.2,10.5,58.9,16.6,15,313,16,169,1.3,993,4.4,11.5,18.2,57.9,15,12,229,15,169,1
"341",19.40962,38.3,992,658,18,173,2,"13:00",992,7.2,24.4,35.4,35.9,19.2,16,270,16,206,1.9,993,1.9,12,14.8,52.4,19.4,12,354,17,202,1.7,993,2.2,7.2,10.5,58.9,16.6,15,313,16,169,1.3
"344",27.5952633333333,28.7,992,333,19,203,2.5,"16:00",992,6.2,29.6,39.2,45.9,26.3,17,600,19,215,2.5,992,6.2,30.6,40.2,41.4,27.2,17,594,19,215,2.6,992,17.2,38.3,64.5,24.4,27.3,17,658,18,173,2
"345",16.1976233333333,15.3,995,410,19,124,1.1,"09:00",995,1.2,13.9,15.8,39.9,33.4,25,234,17,168,0.8,995,1.6,17.2,19.6,32.4,36.3,32,37,13,122,0.1,995,0.6,14.3,15.3,36.9,38.1,34,19,12,128,0
"352",11.51295,7.2,996,118,18,104,1.7,"16:00",996,0.6,9.6,10.5,63.4,24.7,22,316,18,93,1.6,996,0,12,12,65.9,23.9,23,263,18,111,1.9,996,5.3,8.6,16.7,78.8,20.6,17,186,18,95,1.4
"353",18.5289433333333,13.4,999,88,15,354,2,"09:00",999,1.2,21.5,23.4,41.4,22.1,17,72,15,84,2.1,998,0.9,17.2,18.6,40.9,15.2,16,37,15,79,2,998,0,14.8,14.8,41.9,14,12,34,15,177,1.8
"354",14.9700266666667,12.4,999,80,15,32,2,"10:00",999,3.7,13.4,19.1,45.4,19.8,17,88,15,354,2,999,1.2,21.5,23.4,41.4,22.1,17,72,15,84,2.1,998,0.9,17.2,18.6,40.9,15.2,16,37,15,79,2
"355",12.9062166666667,14.8,999,143,16,72,2.6,"11:00",999,1.2,12.4,14.3,38.9,21.7,16,80,15,32,2,999,3.7,13.4,19.1,45.4,19.8,17,88,15,354,2,999,1.2,21.5,23.4,41.4,22.1,17,72,15,84,2.1
"359",23.8534133333333,23,998,82,16,96,2.3,"15:00",998,4.1,24.9,31.1,46.4,28.1,21,40,17,70,2.2,998,6.2,22,31.6,41.9,23.8,19,173,18,39,2.8,998,1.2,14.3,16.3,41.9,18.5,19,287,18,61,2.3
"367",9.92351,10.5,1013,673,17,289,1.6,"15:00",1013,2.2,10,13.4,69.4,23.9,21,678,16,170,1.7,1013,5.3,8.6,16.7,72.3,25.5,18,372,14,191,1.6,1013,1.9,6.7,9.6,73.8,25.7,17,199,13,141,1.5
"368",10.79811,16.3,1013,336,16,85,1.6,"16:00",1013,1.2,10.5,12.4,70.3,33.8,18,673,17,289,1.6,1013,2.2,10,13.4,69.4,23.9,21,678,16,170,1.7,1013,5.3,8.6,16.7,72.3,25.5,18,372,14,191,1.6
"372",13.2361933333333,6.2,1014,249,21,153,1.3,"12:00",1014,1.2,13.4,15.3,96.8,29.7,17,417,21,173,1.4,1014,6.5,27.3,37.3,62.9,33.4,19,546,21,151,1.6,1014,8.7,26.8,40.2,51.4,30.5,23,368,20,200,1.1
"376",8.75357,7.7,1014,178,22,150,0.9,"16:00",1014,1.2,8.1,10,93.3,17.8,16,450,22,97,1,1014,1.9,6.7,9.6,90.3,20.5,17,383,22,44,1.3,1014,2.2,7.2,10.5,97.3,28.9,13,265,21,212,1
"377",27.87169,39.2,1015,337,20,233,0.9,"09:00",1015,10.3,41.6,57.4,40.9,31.7,23,217,18,222,1.1,1015,14.3,48.8,70.8,27.4,33.4,24,150,16,222,1.3,1015,16.8,48.8,74.6,20.5,30.3,25,80,15,228,0.9
"383",12.28146,6.2,1013,646,26,185,1.5,"15:00",1014,0.9,7.7,9.1,115.3,32.4,22,752,26,238,1.5,1014,2.8,14.3,18.6,112.8,28.2,21,698,25,247,1.4,1014,5.3,12.9,21,96.8,32.4,19,538,24,245,1.4
"385",35.3551433333333,29.2,1014,351,22,198,1,"09:00",1014,16.5,48.3,73.6,23.9,33.1,22,205,21,199,0.8,1014,18.1,48.8,76.5,19,30.2,21,67,19,241,0.7,1014,10,38.7,54,22.5,25,20,46,17,237,0.5
"387",14.8787766666666,14.3,1013,609,23,218,1.5,"11:00",1014,3.4,12.9,18.2,40.9,18.8,15,530,23,208,1.4,1014,9.7,29.2,44,35.9,30.1,23,351,22,198,1,1014,16.5,48.3,73.6,23.9,33.1,22,205,21,199,0.8
"388",14.2913266666667,10,1013,722,25,207,1.4,"12:00",1013,3.4,14.3,19.6,47.4,23.2,17,609,23,218,1.5,1014,3.4,12.9,18.2,40.9,18.8,15,530,23,208,1.4,1014,9.7,29.2,44,35.9,30.1,23,351,22,198,1
"395",18.0370766666667,13.4,1011,347,22,207,1.6,"11:00",1011,5,22.5,30.1,67.4,33.6,22,441,22,209,1.5,1011,10.6,28.7,44.9,46.9,38.6,22,357,21,237,1,1011,9,28.7,42.6,39.4,35,22,216,20,223,1
"397",17.2303066666667,14.8,1010,568,24,206,1.3,"13:00",1010,2.5,16.3,20.1,80.8,33.7,22,328,23,242,1.6,1011,1.6,13.4,15.8,86.8,26.9,23,347,22,207,1.6,1011,5,22.5,30.1,67.4,33.6,22,441,22,209,1.5
"398",17.2643033333333,16.3,1010,318,24,223,1,"14:00",1010,1.2,14.8,16.7,94.3,32.6,25,568,24,206,1.3,1010,2.5,16.3,20.1,80.8,33.7,22,328,23,242,1.6,1011,1.6,13.4,15.8,86.8,26.9,23,347,22,207,1.6
"405",31.5533166666667,35.9,1003,113,13,206,2,"13:00",1003,14.7,31.6,54,23,15.7,12,255,13,98,2.2,1004,11.2,30.1,47.3,23.9,16.4,11,245,12,333,2.1,1004,6.9,24.9,35.4,20,15,11,160,11,230,2.3
"407",37.02169,50.2,1003,32,12,260,1.7,"15:00",1003,8.1,41.6,54,18.5,18.1,14,44,12,286,1.6,1003,11.2,35.9,53.1,23,16.4,14,113,13,206,2,1003,14.7,31.6,54,23,15.7,12,255,13,98,2.2
"408",42.9793466666667,52.6,1003,18,12,265,1.9,"16:00",1003,18.7,50.2,78.9,6.5,25,13,32,12,260,1.7,1003,8.1,41.6,54,18.5,18.1,14,44,12,286,1.6,1003,11.2,35.9,53.1,23,16.4,14,113,13,206,2
"409",29.3944966666667,29.6,1004,81,12,188,0.3,"09:00",1004,14,30.6,52.1,4.5,37.1,25,42,11,55,0.3,1003,15.9,33,57.4,1,32.7,24,21,11,142,0.5,1003,10.9,33.5,50.2,1,32.8,22,9,11,159,0.3
"412",20.1588033333333,20.6,1004,182,14,175,0.3,"12:00",1004,5,20.6,28.2,40.9,34.1,27,149,13,203,0.2,1004,9.7,27.7,42.6,23,38.1,30,138,13,232,0.1,1004,13.1,29.6,49.7,12.5,38.5,30,81,12,188,0.3
"421",11.0436633333333,8.1,1009,100,16,117,0.3,"13:00",1009,5.6,7.7,16.3,53.4,14.1,8,167,17,128,0.5,1008,2.5,5.3,9.1,54.4,13.3,8,278,16,179,0.7,1008,2.5,7.2,11,51.9,10.9,7,188,15,299,0.3
"425",32.47156,28.2,1008,102,15,166,0.7,"09:00",1008,29.9,30.6,76.5,6.5,21.3,16,36,14,180,0.4,1008,19.3,30.6,60.2,3,15.9,11,9,14,202,0.3,1008,11.2,29.2,46.4,1,15.5,13,1,14,151,0.6
"427",25.36106,15.8,1007,159,17,122,0.9,"11:00",1008,30.9,24.4,71.7,23.4,22.5,11,211,16,192,0.8,1008,27.4,28.2,70.3,11.5,25.8,15,102,15,166,0.7,1008,29.9,30.6,76.5,6.5,21.3,16,36,14,180,0.4
"429",16.9961966666666,16.7,1007,208,17,229,1.5,"13:00",1007,7.5,15.8,27.3,37.9,14.7,12,141,17,168,0.8,1007,10,15.8,31.1,36.4,14.6,12,159,17,122,0.9,1008,30.9,24.4,71.7,23.4,22.5,11,211,16,192,0.8
"433",8.75175666666667,4.8,1007,228,10,220,1.2,"09:00",1007,1.9,7.7,10.5,57.4,17.9,9,123,9,231,1.3,1007,1.6,9.6,12,55.4,16.8,12,52,9,240,1,1007,1.6,12.4,14.8,53.9,17.5,8,9,9,255,1
"437",7.32373666666667,6.2,1005,357,15,215,1.6,"13:00",1006,1.6,5.3,7.7,52.4,11.3,7,481,15,231,1.4,1006,1.6,7.2,9.6,52.4,11.1,7,468,14,211,1.4,1006,1.2,4.8,6.7,56.4,15.4,9,385,13,238,1.3
"440",10.9550533333333,10.5,1004,65,15,202,1.2,"16:00",1005,1.9,8.6,11.5,44.9,10.1,6,134,15,202,1.2,1005,1.2,7.7,9.6,48.9,9.6,6,300,15,211,1.8,1005,1.6,6.2,8.6,51.9,11.3,7,357,15,215,1.6
"443",6.60829666666668,1,1000,176,6,130,1.7,"11:00",1000,2.5,3.3,7.2,61.4,5.1,2,85,5,275,1.4,1000,1.6,10.5,12.9,58.4,4.8,2,72,4,294,1.6,1001,2.5,15.8,19.6,53.4,7.7,5,35,4,269,1.4
"444",6.81241666666668,2.9,999,106,8,141,2,"12:00",1000,1.6,1,3.3,60.4,0.5,1,176,6,130,1.7,1000,2.5,3.3,7.2,61.4,5.1,2,85,5,275,1.4,1000,1.6,10.5,12.9,58.4,4.8,2,72,4,294,1.6
"445",8.35556333333334,6.2,998,222,8,62,1.9,"13:00",999,1.6,2.9,5.3,53.4,4.2,2,106,8,141,2,1000,1.6,1,3.3,60.4,0.5,1,176,6,130,1.7,1000,2.5,3.3,7.2,61.4,5.1,2,85,5,275,1.4
"449",33.7495000000001,34.4,964,21,5,123,4.5,"09:00",966,11.2,32,49.2,8,20.1,15,8,6,141,4.1,967,5.6,33,41.6,8.5,20.2,15,1,7,126,3.7,969,1.6,24.4,26.8,16.5,16,12,-3,7,152,3.5
"454",23.04627,20.1,959,11,5,136,4.1,"14:00",960,3.1,19.6,24.4,19,9.7,7,18,5,128,4.2,960,8.4,21,33.9,20.5,8.2,6,18,5,122,4.4,962,1.9,20.1,23,30.9,7.4,6,52,4,125,4.9
"457",34.56271,39.7,966,45,8,100,1.9,"09:00",965,8.7,40.6,54,18,14.8,6,24,8,86,2.2,964,3.4,35.9,41.1,18,7.7,3,3,8,105,2.5,963,0.3,16.7,17.2,37.4,6.3,4,-2,8,82,2.6
"460",28.9833333333333,25.8,969,36,8,79,2.8,"12:00",968,6.9,29.2,39.7,32.9,10.6,6,45,8,62,3,967,10,35.4,50.7,25.9,12.7,8,55,9,74,2.5,966,11.2,39.7,56.9,20,15.5,8,45,8,100,1.9
"461",26.2981433333333,23.4,970,45,7,52,3.1,"13:00",969,5.6,25.8,34.4,38.4,10.1,5,36,8,79,2.8,968,6.9,29.2,39.7,32.9,10.6,6,45,8,62,3,967,10,35.4,50.7,25.9,12.7,8,55,9,74,2.5
"465",10.6318266666667,1.9,989,113,5,298,1,"09:00",988,3.4,5.7,11,58.4,7.9,6,43,3,277,1.2,986,1.9,7.2,10,55.4,7.2,6,4,3,296,1.2,985,0.6,7.2,8.1,56.9,8.8,5,-3,3,206,1.5
"470",6.48040000000001,7.7,992,508,8,306,1.6,"14:00",991,1.9,3.8,6.7,52.9,6.6,6,574,7,151,1.6,991,2.8,4.8,9.1,55.4,6.2,6,380,7,284,1.6,990,1.6,3.8,6.2,55.9,2.9,2,317,6,207,1.5
"472",10.4538733333333,13.9,994,24,6,281,1.2,"16:00",993,1.6,7.7,10,57.4,11.2,5,303,7,270,1.4,992,5.3,7.7,15.8,49.9,5.6,2,508,8,306,1.6,991,1.9,3.8,6.7,52.9,6.6,6,574,7,151,1.6
"474",17.77482,9.6,979,38,11,191,3,"10:00",980,3.1,17.2,22,53.4,25.7,5,26,10,172,3,983,4.1,20.6,26.8,52.4,13.9,10,6,9,199,2.6,985,1.9,17.7,20.6,55.4,16.1,9,-1,9,190,1.9
"475",11.5108566666667,5.3,977,48,12,181,3.3,"11:00",979,4.1,9.6,15.8,57.4,19.1,10,38,11,191,3,980,3.1,17.2,22,53.4,25.7,5,26,10,172,3,983,4.1,20.6,26.8,52.4,13.9,10,6,9,199,2.6
"477",12.5930266666667,8.1,974,51,15,199,5.2,"13:00",975,3.4,6.7,12,54.9,15.4,9,73,13,199,4,977,3.1,5.3,10,56.9,19,9,48,12,181,3.3,979,4.1,9.6,15.8,57.4,19.1,10,38,11,191,3
