"","predict","X","Site","Time","BP","NO","NO2","NOX","O3","PM10","PM2.5","SOLR","TMP","WDIR","WSPD","TimeHours","TimeHoursNum","Date","Year","Month","Week","Day","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"95",338.279941201637,333,"GR4","08/06/2010 13:00",1002,7.2,9.1,20.1,54.9,13.5,9,434,19,215,1.8,"13:00",13,"2010-06-08",2010,6,23,"Tuesday",1003,3.1,9.6,14.3,50.9,15.1,12,340,18,207,2,1003,3.1,10,14.8,51.4,15.3,8,204,17,218,2,1003,2.5,6.7,10.5,50.4,17.3,7,304,18,186,1.8
"96",353.972671538705,338,"GR4","09/06/2010 10:00",993,2.2,7.2,10.5,58.9,16.6,15,313,16,169,1.3,"10:00",10,"2010-06-09",2010,6,23,"Wednesday",993,4.4,11.5,18.2,57.9,15,12,229,15,169,1,993,7.2,20.1,31.1,46.4,14.3,14,125,14,142,1.4,994,9.4,20.1,34.4,35.4,21.1,15,94,13,126,1
"97",362.803983566889,340,"GR4","09/06/2010 12:00",992,7.2,24.4,35.4,35.9,19.2,16,270,16,206,1.9,"12:00",12,"2010-06-09",2010,6,23,"Wednesday",993,1.9,12,14.8,52.4,19.4,12,354,17,202,1.7,993,2.2,7.2,10.5,58.9,16.6,15,313,16,169,1.3,993,4.4,11.5,18.2,57.9,15,12,229,15,169,1
"98",362.220478158647,341,"GR4","09/06/2010 13:00",992,17.2,38.3,64.5,24.4,27.3,17,658,18,173,2,"13:00",13,"2010-06-09",2010,6,23,"Wednesday",992,7.2,24.4,35.4,35.9,19.2,16,270,16,206,1.9,993,1.9,12,14.8,52.4,19.4,12,354,17,202,1.7,993,2.2,7.2,10.5,58.9,16.6,15,313,16,169,1.3
"99",360.733275242693,344,"GR4","09/06/2010 16:00",992,3.7,28.7,34.4,50.9,21.9,19,333,19,203,2.5,"16:00",16,"2010-06-09",2010,6,23,"Wednesday",992,6.2,29.6,39.2,45.9,26.3,17,600,19,215,2.5,992,6.2,30.6,40.2,41.4,27.2,17,594,19,215,2.6,992,17.2,38.3,64.5,24.4,27.3,17,658,18,173,2
"100",336.853641653135,345,"GR4","10/06/2010 09:00",995,5.6,15.3,23.9,40.9,19.6,18,410,19,124,1.1,"09:00",9,"2010-06-10",2010,6,23,"Thursday",995,1.2,13.9,15.8,39.9,33.4,25,234,17,168,0.8,995,1.6,17.2,19.6,32.4,36.3,32,37,13,122,0.1,995,0.6,14.3,15.3,36.9,38.1,34,19,12,128,0
"101",344.565766369654,352,"GR4","10/06/2010 16:00",996,0,7.2,7.2,62.9,23.3,18,118,18,104,1.7,"16:00",16,"2010-06-10",2010,6,23,"Thursday",996,0.6,9.6,10.5,63.4,24.7,22,316,18,93,1.6,996,0,12,12,65.9,23.9,23,263,18,111,1.9,996,5.3,8.6,16.7,78.8,20.6,17,186,18,95,1.4
"102",343.182098244993,353,"GR4","11/06/2010 09:00",999,3.7,13.4,19.1,45.4,19.8,17,88,15,354,2,"09:00",9,"2010-06-11",2010,6,23,"Friday",999,1.2,21.5,23.4,41.4,22.1,17,72,15,84,2.1,998,0.9,17.2,18.6,40.9,15.2,16,37,15,79,2,998,0,14.8,14.8,41.9,14,12,34,15,177,1.8
"103",336.013477254225,354,"GR4","11/06/2010 10:00",999,1.2,12.4,14.3,38.9,21.7,16,80,15,32,2,"10:00",10,"2010-06-11",2010,6,23,"Friday",999,3.7,13.4,19.1,45.4,19.8,17,88,15,354,2,999,1.2,21.5,23.4,41.4,22.1,17,72,15,84,2.1,998,0.9,17.2,18.6,40.9,15.2,16,37,15,79,2
"104",346.966575023376,355,"GR4","11/06/2010 11:00",999,1.6,14.8,17.2,36.9,21.8,15,143,16,72,2.6,"11:00",11,"2010-06-11",2010,6,23,"Friday",999,1.2,12.4,14.3,38.9,21.7,16,80,15,32,2,999,3.7,13.4,19.1,45.4,19.8,17,88,15,354,2,999,1.2,21.5,23.4,41.4,22.1,17,72,15,84,2.1
"105",343.927221950885,359,"GR4","11/06/2010 15:00",998,2.5,23,26.8,48.4,25.3,20,82,16,96,2.3,"15:00",15,"2010-06-11",2010,6,23,"Friday",998,4.1,24.9,31.1,46.4,28.1,21,40,17,70,2.2,998,6.2,22,31.6,41.9,23.8,19,173,18,39,2.8,998,1.2,14.3,16.3,41.9,18.5,19,287,18,61,2.3
"106",336.65230603681,367,"GR4","21/06/2010 15:00",1013,1.2,10.5,12.4,70.3,33.8,18,673,17,289,1.6,"15:00",15,"2010-06-21",2010,6,25,"Monday",1013,2.2,10,13.4,69.4,23.9,21,678,16,170,1.7,1013,5.3,8.6,16.7,72.3,25.5,18,372,14,191,1.6,1013,1.9,6.7,9.6,73.8,25.7,17,199,13,141,1.5
"107",338.004866971084,368,"GR4","21/06/2010 16:00",1013,1.2,16.3,18.2,66.4,31.7,20,336,16,85,1.6,"16:00",16,"2010-06-21",2010,6,25,"Monday",1013,1.2,10.5,12.4,70.3,33.8,18,673,17,289,1.6,1013,2.2,10,13.4,69.4,23.9,21,678,16,170,1.7,1013,5.3,8.6,16.7,72.3,25.5,18,372,14,191,1.6
"108",343.251061432204,372,"GR4","22/06/2010 12:00",1014,0.9,6.2,7.7,108.3,30,20,249,21,153,1.3,"12:00",12,"2010-06-22",2010,6,25,"Tuesday",1014,1.2,13.4,15.3,96.8,29.7,17,417,21,173,1.4,1014,6.5,27.3,37.3,62.9,33.4,19,546,21,151,1.6,1014,8.7,26.8,40.2,51.4,30.5,23,368,20,200,1.1
"109",325.194131972093,376,"GR4","22/06/2010 16:00",1014,1.2,7.7,9.6,95.3,17.1,17,178,22,150,0.9,"16:00",16,"2010-06-22",2010,6,25,"Tuesday",1014,1.2,8.1,10,93.3,17.8,16,450,22,97,1,1014,1.9,6.7,9.6,90.3,20.5,17,383,22,44,1.3,1014,2.2,7.2,10.5,97.3,28.9,13,265,21,212,1
"110",346.160424185251,377,"GR4","23/06/2010 09:00",1015,10.3,39.2,55,64.9,38.6,23,337,20,233,0.9,"09:00",9,"2010-06-23",2010,6,25,"Wednesday",1015,10.3,41.6,57.4,40.9,31.7,23,217,18,222,1.1,1015,14.3,48.8,70.8,27.4,33.4,24,150,16,222,1.3,1015,16.8,48.8,74.6,20.5,30.3,25,80,15,228,0.9
"111",369.640311732587,383,"GR4","23/06/2010 15:00",1013,0.9,6.2,7.7,113.3,33.5,22,646,26,185,1.5,"15:00",15,"2010-06-23",2010,6,25,"Wednesday",1014,0.9,7.7,9.1,115.3,32.4,22,752,26,238,1.5,1014,2.8,14.3,18.6,112.8,28.2,21,698,25,247,1.4,1014,5.3,12.9,21,96.8,32.4,19,538,24,245,1.4
"112",375.976452559684,385,"GR4","24/06/2010 09:00",1014,9.7,29.2,44,35.9,30.1,23,351,22,198,1,"09:00",9,"2010-06-24",2010,6,25,"Thursday",1014,16.5,48.3,73.6,23.9,33.1,22,205,21,199,0.8,1014,18.1,48.8,76.5,19,30.2,21,67,19,241,0.7,1014,10,38.7,54,22.5,25,20,46,17,237,0.5
"113",365.808361404662,387,"GR4","24/06/2010 11:00",1013,3.4,14.3,19.6,47.4,23.2,17,609,23,218,1.5,"11:00",11,"2010-06-24",2010,6,25,"Thursday",1014,3.4,12.9,18.2,40.9,18.8,15,530,23,208,1.4,1014,9.7,29.2,44,35.9,30.1,23,351,22,198,1,1014,16.5,48.3,73.6,23.9,33.1,22,205,21,199,0.8
"114",372.898429683343,388,"GR4","24/06/2010 12:00",1013,1.9,10,12.9,57.9,22,16,722,25,207,1.4,"12:00",12,"2010-06-24",2010,6,25,"Thursday",1013,3.4,14.3,19.6,47.4,23.2,17,609,23,218,1.5,1014,3.4,12.9,18.2,40.9,18.8,15,530,23,208,1.4,1014,9.7,29.2,44,35.9,30.1,23,351,22,198,1
"115",382.328900328423,395,"GR4","25/06/2010 11:00",1011,1.6,13.4,15.8,86.8,26.9,23,347,22,207,1.6,"11:00",11,"2010-06-25",2010,6,25,"Friday",1011,5,22.5,30.1,67.4,33.6,22,441,22,209,1.5,1011,10.6,28.7,44.9,46.9,38.6,22,357,21,237,1,1011,9,28.7,42.6,39.4,35,22,216,20,223,1
"116",417.566884514407,397,"GR4","25/06/2010 13:00",1010,1.2,14.8,16.7,94.3,32.6,25,568,24,206,1.3,"13:00",13,"2010-06-25",2010,6,25,"Friday",1010,2.5,16.3,20.1,80.8,33.7,22,328,23,242,1.6,1011,1.6,13.4,15.8,86.8,26.9,23,347,22,207,1.6,1011,5,22.5,30.1,67.4,33.6,22,441,22,209,1.5
"117",387.828501376355,398,"GR4","25/06/2010 14:00",1010,1.2,16.3,18.2,94.3,32.3,25,318,24,223,1,"14:00",14,"2010-06-25",2010,6,25,"Friday",1010,1.2,14.8,16.7,94.3,32.6,25,568,24,206,1.3,1010,2.5,16.3,20.1,80.8,33.7,22,328,23,242,1.6,1011,1.6,13.4,15.8,86.8,26.9,23,347,22,207,1.6
"118",401.201923574215,405,"GR4","27/09/2010 13:00",1003,11.2,35.9,53.1,23,16.4,14,113,13,206,2,"13:00",13,"2010-09-27",2010,9,39,"Monday",1003,14.7,31.6,54,23,15.7,12,255,13,98,2.2,1004,11.2,30.1,47.3,23.9,16.4,11,245,12,333,2.1,1004,6.9,24.9,35.4,20,15,11,160,11,230,2.3
"119",396.74089740507,407,"GR4","27/09/2010 15:00",1003,18.7,50.2,78.9,6.5,25,13,32,12,260,1.7,"15:00",15,"2010-09-27",2010,9,39,"Monday",1003,8.1,41.6,54,18.5,18.1,14,44,12,286,1.6,1003,11.2,35.9,53.1,23,16.4,14,113,13,206,2,1003,14.7,31.6,54,23,15.7,12,255,13,98,2.2
"120",388.611218926292,408,"GR4","27/09/2010 16:00",1003,32.1,52.6,101.8,2,24.7,14,18,12,265,1.9,"16:00",16,"2010-09-27",2010,9,39,"Monday",1003,18.7,50.2,78.9,6.5,25,13,32,12,260,1.7,1003,8.1,41.6,54,18.5,18.1,14,44,12,286,1.6,1003,11.2,35.9,53.1,23,16.4,14,113,13,206,2
"121",393.636420866437,409,"GR4","28/09/2010 09:00",1004,13.1,29.6,49.7,12.5,38.5,30,81,12,188,0.3,"09:00",9,"2010-09-28",2010,9,39,"Tuesday",1004,14,30.6,52.1,4.5,37.1,25,42,11,55,0.3,1003,15.9,33,57.4,1,32.7,24,21,11,142,0.5,1003,10.9,33.5,50.2,1,32.8,22,9,11,159,0.3
"122",409.490011136723,412,"GR4","28/09/2010 12:00",1004,8.7,20.6,33.9,40.4,32.8,25,182,14,175,0.3,"12:00",12,"2010-09-28",2010,9,39,"Tuesday",1004,5,20.6,28.2,40.9,34.1,27,149,13,203,0.2,1004,9.7,27.7,42.6,23,38.1,30,138,13,232,0.1,1004,13.1,29.6,49.7,12.5,38.5,30,81,12,188,0.3
"123",418.959354948278,421,"GR4","29/09/2010 13:00",1009,3.4,8.1,13.4,54.9,17.6,8,100,16,117,0.3,"13:00",13,"2010-09-29",2010,9,39,"Wednesday",1009,5.6,7.7,16.3,53.4,14.1,8,167,17,128,0.5,1008,2.5,5.3,9.1,54.4,13.3,8,278,16,179,0.7,1008,2.5,7.2,11,51.9,10.9,7,188,15,299,0.3
"124",433.420245728378,425,"GR4","30/09/2010 09:00",1008,27.4,28.2,70.3,11.5,25.8,15,102,15,166,0.7,"09:00",9,"2010-09-30",2010,9,39,"Thursday",1008,29.9,30.6,76.5,6.5,21.3,16,36,14,180,0.4,1008,19.3,30.6,60.2,3,15.9,11,9,14,202,0.3,1008,11.2,29.2,46.4,1,15.5,13,1,14,151,0.6
"125",440.218982839791,427,"GR4","30/09/2010 11:00",1007,10,15.8,31.1,36.4,14.6,12,159,17,122,0.9,"11:00",11,"2010-09-30",2010,9,39,"Thursday",1008,30.9,24.4,71.7,23.4,22.5,11,211,16,192,0.8,1008,27.4,28.2,70.3,11.5,25.8,15,102,15,166,0.7,1008,29.9,30.6,76.5,6.5,21.3,16,36,14,180,0.4
"126",437.500965978892,429,"GR4","30/09/2010 13:00",1007,12.5,16.7,35.9,42.4,20.9,10,208,17,229,1.5,"13:00",13,"2010-09-30",2010,9,39,"Thursday",1007,7.5,15.8,27.3,37.9,14.7,12,141,17,168,0.8,1007,10,15.8,31.1,36.4,14.6,12,159,17,122,0.9,1008,30.9,24.4,71.7,23.4,22.5,11,211,16,192,0.8
"127",428.71905451493,433,"GR4","01/10/2010 09:00",1007,1.2,4.8,6.7,57.9,14.2,8,228,10,220,1.2,"09:00",9,"2010-10-01",2010,10,39,"Friday",1007,1.9,7.7,10.5,57.4,17.9,9,123,9,231,1.3,1007,1.6,9.6,12,55.4,16.8,12,52,9,240,1,1007,1.6,12.4,14.8,53.9,17.5,8,9,9,255,1
"128",460.175581891704,437,"GR4","01/10/2010 13:00",1005,1.6,6.2,8.6,51.9,11.3,7,357,15,215,1.6,"13:00",13,"2010-10-01",2010,10,39,"Friday",1006,1.6,5.3,7.7,52.4,11.3,7,481,15,231,1.4,1006,1.6,7.2,9.6,52.4,11.1,7,468,14,211,1.4,1006,1.2,4.8,6.7,56.4,15.4,9,385,13,238,1.3
"129",455.430448818871,440,"GR4","01/10/2010 16:00",1004,1.9,10.5,13.4,40.4,11,7,65,15,202,1.2,"16:00",16,"2010-10-01",2010,10,39,"Friday",1005,1.9,8.6,11.5,44.9,10.1,6,134,15,202,1.2,1005,1.2,7.7,9.6,48.9,9.6,6,300,15,211,1.8,1005,1.6,6.2,8.6,51.9,11.3,7,357,15,215,1.6
"130",449.596022191567,443,"GR4","08/11/2010 11:00",1000,1.6,1,3.3,60.4,0.5,1,176,6,130,1.7,"11:00",11,"2010-11-08",2010,11,45,"Monday",1000,2.5,3.3,7.2,61.4,5.1,2,85,5,275,1.4,1000,1.6,10.5,12.9,58.4,4.8,2,72,4,294,1.6,1001,2.5,15.8,19.6,53.4,7.7,5,35,4,269,1.4
"131",436.827394034003,444,"GR4","08/11/2010 12:00",999,1.6,2.9,5.3,53.4,4.2,2,106,8,141,2,"12:00",12,"2010-11-08",2010,11,45,"Monday",1000,1.6,1,3.3,60.4,0.5,1,176,6,130,1.7,1000,2.5,3.3,7.2,61.4,5.1,2,85,5,275,1.4,1000,1.6,10.5,12.9,58.4,4.8,2,72,4,294,1.6
"132",445.461799513459,445,"GR4","08/11/2010 13:00",998,1.6,6.2,8.6,49.4,4.3,1,222,8,62,1.9,"13:00",13,"2010-11-08",2010,11,45,"Monday",999,1.6,2.9,5.3,53.4,4.2,2,106,8,141,2,1000,1.6,1,3.3,60.4,0.5,1,176,6,130,1.7,1000,2.5,3.3,7.2,61.4,5.1,2,85,5,275,1.4
"133",485.263443752494,449,"GR4","09/11/2010 09:00",964,21.8,34.4,67.9,5,27,18,21,5,123,4.5,"09:00",9,"2010-11-09",2010,11,45,"Tuesday",966,11.2,32,49.2,8,20.1,15,8,6,141,4.1,967,5.6,33,41.6,8.5,20.2,15,1,7,126,3.7,969,1.6,24.4,26.8,16.5,16,12,-3,7,152,3.5
"134",495.717386549277,454,"GR4","09/11/2010 14:00",959,5.6,20.1,28.7,19,13.3,10,11,5,136,4.1,"14:00",14,"2010-11-09",2010,11,45,"Tuesday",960,3.1,19.6,24.4,19,9.7,7,18,5,128,4.2,960,8.4,21,33.9,20.5,8.2,6,18,5,122,4.4,962,1.9,20.1,23,30.9,7.4,6,52,4,125,4.9
"135",490.941530566197,457,"GR4","10/11/2010 09:00",966,11.2,39.7,56.9,20,15.5,8,45,8,100,1.9,"09:00",9,"2010-11-10",2010,11,45,"Wednesday",965,8.7,40.6,54,18,14.8,6,24,8,86,2.2,964,3.4,35.9,41.1,18,7.7,3,3,8,105,2.5,963,0.3,16.7,17.2,37.4,6.3,4,-2,8,82,2.6
"136",480.564306338443,460,"GR4","10/11/2010 12:00",969,5.6,25.8,34.4,38.4,10.1,5,36,8,79,2.8,"12:00",12,"2010-11-10",2010,11,45,"Wednesday",968,6.9,29.2,39.7,32.9,10.6,6,45,8,62,3,967,10,35.4,50.7,25.9,12.7,8,55,9,74,2.5,966,11.2,39.7,56.9,20,15.5,8,45,8,100,1.9
"137",487.29527715536,461,"GR4","10/11/2010 13:00",970,4.1,23.4,29.6,41.4,10.1,6,45,7,52,3.1,"13:00",13,"2010-11-10",2010,11,45,"Wednesday",969,5.6,25.8,34.4,38.4,10.1,5,36,8,79,2.8,968,6.9,29.2,39.7,32.9,10.6,6,45,8,62,3,967,10,35.4,50.7,25.9,12.7,8,55,9,74,2.5
"138",464.721284402715,465,"GR4","11/11/2010 09:00",989,1.2,1.9,3.8,58.9,3,3,113,5,298,1,"09:00",9,"2010-11-11",2010,11,45,"Thursday",988,3.4,5.7,11,58.4,7.9,6,43,3,277,1.2,986,1.9,7.2,10,55.4,7.2,6,4,3,296,1.2,985,0.6,7.2,8.1,56.9,8.8,5,-3,3,206,1.5
"139",465.942155052663,470,"GR4","11/11/2010 14:00",992,5.3,7.7,15.8,49.9,5.6,2,508,8,306,1.6,"14:00",14,"2010-11-11",2010,11,45,"Thursday",991,1.9,3.8,6.7,52.9,6.6,6,574,7,151,1.6,991,2.8,4.8,9.1,55.4,6.2,6,380,7,284,1.6,990,1.6,3.8,6.2,55.9,2.9,2,317,6,207,1.5
"140",473.826447471094,472,"GR4","11/11/2010 16:00",994,0.9,13.9,15.3,55.4,11.6,6,24,6,281,1.2,"16:00",16,"2010-11-11",2010,11,45,"Thursday",993,1.6,7.7,10,57.4,11.2,5,303,7,270,1.4,992,5.3,7.7,15.8,49.9,5.6,2,508,8,306,1.6,991,1.9,3.8,6.7,52.9,6.6,6,574,7,151,1.6
"141",511.818611925634,474,"GR4","12/11/2010 10:00",979,4.1,9.6,15.8,57.4,19.1,10,38,11,191,3,"10:00",10,"2010-11-12",2010,11,45,"Friday",980,3.1,17.2,22,53.4,25.7,5,26,10,172,3,983,4.1,20.6,26.8,52.4,13.9,10,6,9,199,2.6,985,1.9,17.7,20.6,55.4,16.1,9,-1,9,190,1.9
"142",522.748263095343,475,"GR4","12/11/2010 11:00",977,3.1,5.3,10,56.9,19,9,48,12,181,3.3,"11:00",11,"2010-11-12",2010,11,45,"Friday",979,4.1,9.6,15.8,57.4,19.1,10,38,11,191,3,980,3.1,17.2,22,53.4,25.7,5,26,10,172,3,983,4.1,20.6,26.8,52.4,13.9,10,6,9,199,2.6
"143",506.948627465344,477,"GR4","12/11/2010 13:00",974,2.8,8.1,12.4,51.9,13.1,8,51,15,199,5.2,"13:00",13,"2010-11-12",2010,11,45,"Friday",975,3.4,6.7,12,54.9,15.4,9,73,13,199,4,977,3.1,5.3,10,56.9,19,9,48,12,181,3.3,979,4.1,9.6,15.8,57.4,19.1,10,38,11,191,3
